customer_id,last_date,recency,frequence,amount,intereval
CS1639,2015-03-04,2550,23,1619,50
CS1640,2015-01-15,2598,19,1232,68
CS1641,2015-03-08,2546,17,1232,82
CS1642,2015-02-10,2572,24,1672,55
CS1643,2015-02-22,2560,27,2087,46
CS1644,2014-12-31,2613,22,1542,62
CS1645,2014-07-16,2781,19,1412,64
CS1646,2015-02-17,2565,17,1185,82
CS1647,2015-02-28,2554,21,1401,62
CS1648,2014-11-20,2654,24,1776,55
CS1649,2015-01-27,2586,16,1197,89
CS1650,2014-11-23,2651,24,1832,55
CS1651,2014-12-02,2642,13,927,104
CS1652,2015-03-15,2539,26,1726,51
CS1653,2014-11-19,2655,26,1986,50
CS1654,2014-12-16,2628,19,1384,66
CS1655,2015-02-16,2566,14,955,103
CS1656,2015-01-24,2589,14,966,87
CS1657,2014-11-11,2663,18,1105,74
CS1658,2015-02-15,2567,20,1389,71
CS1659,2015-02-01,2581,19,1311,72
CS1660,2015-02-24,2558,24,1745,57
CS1661,2015-02-17,2565,32,2051,43
CS1662,2015-02-22,2560,17,1033,84
CS1663,2014-12-10,2634,23,1487,54
CS1664,2015-03-03,2551,25,1954,53
CS1665,2014-10-12,2693,16,1033,82
CS1666,2015-01-25,2588,18,1385,75
CS1667,2015-01-02,2611,20,1313,65
CS1668,2015-01-26,2587,17,1227,82
CS1669,2015-03-01,2553,15,1105,62
CS1670,2014-12-25,2619,16,1191,87
CS1671,2014-12-22,2622,17,1246,77
CS1672,2014-11-05,2669,15,1110,86
CS1673,2015-01-21,2592,26,1784,52
CS1674,2015-01-21,2592,17,1088,77
CS1675,2015-02-06,2576,28,2124,48
CS1676,2015-01-09,2604,28,2088,49
CS1677,2015-01-11,2602,21,1439,62
CS1678,2014-12-31,2613,18,1230,72
CS1679,2015-03-09,2545,28,1976,51
CS1680,2015-01-27,2586,18,1151,79
CS1681,2014-11-23,2651,21,1467,64
CS1682,2014-11-10,2664,15,1075,90
CS1683,2015-03-02,2552,17,1245,83
CS1684,2015-01-07,2606,18,1241,67
CS1685,2014-08-13,2753,22,1569,50
CS1686,2015-01-08,2605,24,1647,56
CS1687,2015-02-20,2562,22,1656,64
CS1688,2014-11-05,2669,17,1167,75
CS1689,2015-01-01,2612,16,993,84
CS1690,2015-02-21,2561,19,1354,74
CS1691,2015-01-02,2611,20,1523,69
CS1692,2015-03-15,2539,23,1592,61
CS1693,2015-03-01,2553,12,908,121
CS1694,2015-01-10,2603,22,1330,56
CS1695,2014-12-13,2631,32,2174,41
CS1696,2014-11-07,2667,19,1325,60
CS1697,2014-11-29,2645,15,1082,85
CS1698,2015-03-11,2543,19,1397,64
CS1699,2015-02-28,2554,18,1261,79
CS1700,2014-07-12,2785,17,1186,64
CS1701,2014-09-19,2716,18,1190,67
CS1702,2015-02-18,2564,17,1028,79
CS1703,2015-01-06,2607,15,890,70
CS1704,2015-02-26,2556,22,1484,63
CS1705,2014-12-28,2616,21,1553,65
CS1706,2015-02-14,2568,23,1681,55
CS1707,2015-02-03,2579,22,1627,64
CS1708,2015-02-04,2578,25,1790,54
CS1709,2014-10-08,2697,23,1629,55
CS1710,2014-06-24,2803,22,1577,51
CS1711,2014-12-21,2623,23,1548,57
CS1712,2014-11-16,2658,21,1411,63
CS1713,2015-03-07,2547,19,1495,76
CS1714,2015-03-16,2538,16,1248,84
CS1715,2015-01-28,2585,20,1314,68
CS1716,2014-03-29,2890,6,440,175
CS1717,2015-01-26,2587,14,963,86
CS1718,2014-12-29,2615,18,1284,61
CS1719,2015-02-09,2573,17,1166,79
CS1720,2015-03-16,2538,17,1104,70
CS1721,2015-02-24,2558,24,1687,59
CS1722,2015-03-02,2552,19,1320,76
CS1723,2015-02-09,2573,17,1146,60
CS1724,2015-02-15,2567,18,1223,76
CS1725,2015-01-16,2597,27,1778,50
CS1726,2015-02-17,2565,23,1529,61
CS1727,2015-03-05,2549,25,1702,57
CS1728,2014-11-30,2644,26,1896,50
CS1729,2015-03-03,2551,24,1567,56
CS1730,2014-11-05,2669,19,1260,59
CS1731,2015-03-02,2552,17,1145,81
CS1732,2015-02-19,2563,18,1353,74
CS1733,2014-11-06,2668,20,1506,59
CS1734,2014-09-07,2728,18,1235,63
CS1735,2015-03-03,2551,14,952,101
CS1736,2014-12-23,2621,24,1653,53
CS1737,2014-12-16,2628,23,1737,55
CS1738,2015-02-09,2573,20,1337,65
CS1739,2015-01-27,2586,17,1199,81
CS1740,2015-02-05,2577,25,1902,56
CS1741,2014-10-20,2685,19,1264,69
CS1742,2015-01-05,2608,19,1326,66
CS1743,2014-09-29,2706,17,1405,75
CS1744,2015-03-03,2551,14,1066,95
